hs4,share_2023_2025,usd_acumulado_2023_2025,usd_promedio_anual,n_ncm,descripcion_top_ncm,ncms_listados
6204,5.718806990799172e-07,16847.470000577618,5615.823333525873,8,"Pantalones largos,cortos,c/peto y shorts excluidos de punto,de algodón,p/mujeres o niñas","62046200,62044300,62045300,62044400,62046900"
3304,5.536473549925985e-07,16310.320000559199,5436.773333519734,2,"Preparaciones p/el cuidado de la piel,excluidos medicamentos,ncop.","33049990,33049910"
8463,5.431136654511731e-07,16000.000000548562,5333.333333516187,1,"Máquinas p/trabajar alambres de metal,que no trabajen por arranque de materia",84633000
6203,5.286359523604493e-07,15573.490000533937,5191.163333511313,4,"Pantalones largos,cortos,c/peto y shorts excluidos de punto,de algodón,p/hombres o niños","62034200,62034300,62032200,62033900"
8460,5.253816831662742e-07,15477.620000530655,5159.206666843552,1,"Máquinas p/desbarbar,amolar o pulir metal excluidas de control numérico",84609090
7323,5.142753481538386e-07,15150.430000519435,5050.143333506478,5,"Artículos de uso doméstico y partes,de acero inoxidable","73239300,73231000,73239100,73239900,73239400"
4820,5.109345202192321e-07,15052.01000051606,5017.336666838687,3,"Libros registro,libros de contabilidad,talonarios,memorandos,agendas y artículos similares","48201000,48209000,48202000"
2001,4.987976270266028e-07,14694.460000503801,4898.153333501266,2,"Hortalizas,frutas y partes comestibles,ncop.,en vinagre o ácido acético","20019000,20011000"
3303,4.934187650623908e-07,14536.000000498369,4845.333333499456,1,Aguas de tocador,33030020
4420,4.882296534350457e-07,14383.130000493125,4794.376666831042,4,"Marquetería,cofres,estuches p/joyería,artículos de mobiliario de madera,excluidos objetos de adorno","44209000,44201100,44201000,44201900"
3405,4.751124400762772e-07,13996.70000047988,4665.566666826627,3,"Betunes,cremas y preparaciones similares p/el calzado o cuero y pieles","34051000,34059000,34054000"
8517,4.729063802564227e-07,13931.710000477651,4643.903333492551,5,"Estaciones base ncop.de aparatos de transmisión o recepción de voz, imagen u otros datos","85176199,85176249,85176259,85176299,85176294"
8451,4.676717828595961e-07,13777.500000472362,4592.5000001574535,2,"Máquinas p/lavar,blanquear,teñir telas o manufacturas textiles,ncop.","84514090,84519090"
6103,4.441006497790152e-07,13083.100000448556,4361.033333482852,3,"Pantalones largos,cortos,c/peto y shorts de punto, de fibras sintéticas,p/hombres o niños","61034300,61034200,61034100"
3307,4.425602436453793e-07,13037.720000447,4345.9066668156665,2,"Preparaciones de perfumería,tocador o cosmética,ncop.","33079000,33074900"
0809,4.2620471505635813e-07,12555.89000043048,4185.29666681016,1,Ciruelas y endrinas frescas,08094000
7214,4.1884246987512656e-07,12339.000000423044,4113.000000141014,1,"Barras de hierro,acero s/alear,de sección circular,laminadas o extrudidas en caliente",72149910
7322,4.120162099924871e-07,12137.900000416148,4045.966666805383,1,"Generadores o distribuidores de aire caliente o fresco,de funcionamiento no eléctrico,de fundición,hierro o acero,sus partes,ncop.",73229090
4419,4.06674347646734e-07,11980.530000410754,3993.5100001369183,2,Artículos de mesa o de cocina ncop.,"44199000,44191100"
2912,4.0407656709567284e-07,11904.000000408132,3968.000000136044,1,Glutaraldehído,29121912
9025,3.801123554997216e-07,11198.020000383925,3732.673333461308,4,Partes y accesorios de termómetros,"90259010,90251990,90259090,90258000"
4907,3.716594701890559e-07,10949.000000375388,3649.666666791796,1,"Sellos de correo,timbres fiscales y similares,papel timbrado, cheques excluidos de viajeros y similares",49070090
6404,3.685806945980295e-07,10858.300000372277,3619.4333334574258,1,Calzado excluido deportivo c/suela de caucho o plástico y parte superior de materia textil,64041900
7408,3.6752807242517703e-07,10827.290000371217,3609.0966667904054,1,Alambre de cobre refinado ncop.,74081900
7612,3.644645719059915e-07,10737.04000036812,3579.0133334560405,2,"Depósitos,barriles,bidones y similares,de aluminio,s/dispositivos mecánicos o térmicos,capacidad <= a 300l.ncop.","76129090,76129019"
8545,3.630721642461911e-07,10696.020000366714,3565.3400001222385,3,Resistencias eléctricas calentadoras desprovistas de revestimientos y terminales,"85459020,85459090,85452000"
9017,3.4794135697276226e-07,10250.270000351431,3416.7566667838105,4,"Partes y accesorios de instrumentos de dibujo,trazado,cálculo e instrumentos manuales de medida de longitudes,excluidas mesas o máquinas de dibujar","90179090,90178010,90172000,90173090"
6216,3.453863466228554e-07,10175.000000348851,3391.6666667829504,1,"Guantes,mitones y manoplas excluidos de punto",62160000
2509,3.421616092342391e-07,10080.000000345595,3360.0000001151984,1,Creta,25090000
5202,3.4142840578587997e-07,10058.400000344853,3352.8000001149508,1,Desperdicios de hilados de algodón,52021000
6813,3.4115447283086804e-07,10050.330000344577,3350.110000114859,4,Pastillas p/freno de celulosa u otras sustancias minerales excluido que contengan amianto,"68138110,68138910,68138190,68138990"
2515,3.394423070005332e-07,9999.890000342846,3333.2966667809487,1,Travertinos en bloques o placas rectangulares,25151220
2505,3.251366930525493e-07,9578.4500003284,3192.816666776133,1,Arenas silíceas y cuarzosas,25051000
7506,3.105354216029354e-07,9148.30000031365,3049.433333437883,1,"Chapas,hojas y tiras de aleaciones de níquel",75062000
6505,3.0555099593825727e-07,9001.460000308616,3000.4866667695387,5,"Tocados de cualquier material en piezas,excluidos gorros c/ o s/visera,sombreros y redecillas","65050090,65050012,65050031,65050011,65050021"
6507,3.0372511568421865e-07,8947.670000306773,2982.556666768924,1,"Desudadores,forros,fundas,armaduras,viseras y barboquejos,p/sombrerería",65070000
2204,3.030984982927043e-07,8929.210000306139,2976.4033334353794,1," Vinos no espumosos, mosto de uva en el que la fermentación se ha impedido o cortado añadiendo alcohol, en envases con capacidad <= a 2 l",22042100
4706,2.993914080799592e-07,8820.000000302394,2940.000000100798,1,Pasta de fibras obtenidas de papel o cartón reciclados,47062000
7607,2.7878601505878257e-07,8212.970000281583,2737.6566667605275,3,"Hojas y tiras s/soporte,simplemente laminadas,en bobinas,de aluminio ,espesor <= a 0,2mm.,ncop.","76071190,76072000,76071990"
2807,2.753756006857901e-07,8112.500000278138,2704.1666667593795,1,Ácido sulfúrico,28070010
8528,2.742133374417246e-07,8078.260000276964,2692.7533334256545,1,Monitores n.c.o.p.,85285900
9602,2.706949792277237e-07,7974.61000027341,2658.20333342447,1,"Materias vegetales o minerales p/tallar y sus manufacturas,manufacturas de cera,parafina,estearina y similares naturales,ncop.",96020090
8523,2.669614122237878e-07,7864.620000269639,2621.54000008988,3,,"85235910,85235200,85235190"
9024,2.6595868861894856e-07,7835.080000268626,2611.693333422875,1,Partes y accesorios de máquinas y aparatos p/ensayos de propiedades mecánicas de materiales,90249000
4201,2.5740193281976535e-07,7583.0000002599845,2527.666666753328,2,"Artículos de talabartería o guarnicionería p/todos los animales,de cuero natural o regenerado","42010010,42010090"
4411,2.55892416275852e-07,7538.530000258459,2512.8433334194865,2,Tablero de fibra de madera densidad media de espesor >a 9mm.excluido s/trabajo mecánico ni recubrimiento de superficie,"44111490,44111210"
0104,2.4501215232666045e-07,7218.00000024747,2406.0000000824903,2,"Animales ovinos,reproductores de raza pura,preñadas o c/cría al pie","01041011,01041019"
6201,2.4173853470815355e-07,7121.560000244164,2373.8533334147214,3,"Abrigos, chaquetones, capas, anoraks, cazadoras y artículos similares, para hombres o niños, excepto los de la partida 62.03, de fibras sintéticas o artificiales","62014000,62011300,62011200"
3822,2.390833877761791e-07,7043.340000241482,2347.7800000804937,3,Otros reactivos de diagnóstico o de laboratorio n.c.o.p.,"38221990,38220090,38229000"
1107,2.2900048257707807e-07,6746.300000231297,2248.7666667437657,1,"Malta tostada,entera o partida",11072010
5808,2.2518001738667e-07,6633.75000022744,2211.250000075813,1,"Artículos de pasamanería y similares,en piezas,s/bordar,bellotas,madroños,pompones y similares de materia textil",58089000
8470,2.179243582622832e-07,6420.00000022011,2140.0000000733703,1,Máquinas de expedir boletos y similares con dispositivo de cálculo incorporado,84709090
1701,1.99189652372545e-07,5868.080000201188,1956.0266667337294,1,Azúcar de caña o remolacha y sacarosa químicamente pura ncop.,17019900
1002,1.9379212087608306e-07,5709.070000195737,1903.0233333985789,1,Centeno excluido p/siembra,10029000
8535,1.9372287388373804e-07,5707.030000195667,1902.3433333985554,5,"Pararrayos p/protección de líneas de transmisión de electricidad,p/una tensión > a 1000 voltios","85354010,85352900,85354090,85353019,85359000"
8306,1.9161898732219656e-07,5645.050000193542,1881.6833333978473,3,"Estatuillas y objetos de adorno,de metal común,ncop.","83062900,83063000,83062100"
8506,1.8796926349036467e-07,5537.530000189855,1845.8433333966184,1,"Pilas de litio,c/volumen exterior <= a 300cm3",85065010
4007,1.8526421799037692e-07,5457.840000187123,1819.2800000623745,1,Cuerdas de caucho vulcanizado,40070020
7312,1.8202182940763342e-07,5362.320000183849,1787.4400000612827,2,"Cables de hierro o acero,s/aislar p/electricidad,excluidos revestidos c/bronce o latón","73121090,73129000"
5109,1.792709586921232e-07,5281.280000181068,1760.4266667270228,1,"Hilados de lana o pelo fino,peso >= 85%,s/acondicionar p/la venta por menor",51091000
6910,1.7687922188789259e-07,5210.820000178654,1736.940000059551,2,"Artículos p/usos sanitarios,de porcelana","69101000,69109000"
6210,1.7651194127163125e-07,5200.000000178282,1733.3333333927606,1,"Prendas de vestir p/hombres o niños,excluidas de punto,cauchutadas,revestidas de plástico u otras materias,ncop.",62104000
6205,1.7049424185843228e-07,5022.720000172205,1674.2400000574016,2,"Camisas excluidas de punto,de fibras sintéticas o artificiales,p/hombres o niños","62053000,62052000"
6306,1.6988018397043152e-07,5004.630000171584,1668.2100000571945,4,Tiendas(carpas)de fibras sintéticas,"63062200,63061910,63061200,63069000"
7305,1.6972437823765522e-07,5000.040000171427,1666.6800000571423,1,"Tubos de hierro o acero,diámetro exterior > a 406,4mm.ncop.",73059000
9030,1.6960421433917414e-07,4996.500000171305,1665.5000000571017,1,"Aparatos p/medida o control de tensión,intensidad,resistencia o potencia de magnitudes eléctricas c/dispositivo registrador",90303990
3305,1.629340996353519e-07,4800.000000164568,1600.000000054856,1,Champúes,33051000
0706,1.5795340787712375e-07,4653.270000159538,1551.0900000531792,1,Zanahorias y nabos frescos o refrigerados,07061000
6006,1.5648903765665104e-07,4610.1300001580585,1536.7100000526862,2,Tejidos de punto de fibras sinteticas teñidos de nailon o demas poliamidas,"60063210,60062100"
6405,1.542021896790607e-07,4542.760000155749,1514.2533333852498,2,Calzado ncop.c/suela de caucho o plástico y parte superior de cuero regenerado,"64051010,64051090"
3406,1.53744955861959e-07,4529.290000155287,1509.7633333850956,1,"Velas,cirios y artículos similares",34060000
8547,1.4844382704111465e-07,4373.120000149933,1457.7066667166441,2,"Piezas aislantes,tubos aisladores y sus piezas de unión p/usos eléctricos,ncop.","85479000,85472090"
7314,1.4536776701841554e-07,4282.500000146826,1427.500000048942,1,"Telas metálicas tejidas de hierro o acero,ncop.",73141900
8502,1.3577841636279328e-07,4000.0000001371404,1333.3333333790467,1,"Grupo electrógeno c/motor de émbolo de encendido por compresión,de potencia <= a 75kVA excluido de corriente alterna",85021190
3203,1.353031919055235e-07,3986.00000013666,1328.6666667122201,1,Materias colorantes vegetales ncop.,32030019
2940,1.330628480355374e-07,3920.000000134398,1306.666666711466,1,"Éteres y ésteres de los azúcares químicamente puros y sus sales,ncop.",29400099
7211,1.3288531775614306e-07,3914.770000134218,1304.9233333780728,1,"Productos planos de hierro,acero s/alear,laminados en caliente ancho < a 600mm.s/chapar,ncop.",72111900
6815,1.3265754946269447e-07,3908.0600001339885,1302.6866667113295,1,"Manufacturas de grafito u otros carbonos, para usos distintos de los eléctricos",68151900
7419,1.3224919587548338e-07,3896.030000133576,1298.676666711192,3,Muelles (resortes) de cobre,"74198030,74198090,74199990"
7313,1.2983811064692107e-07,3825.0000001311405,1275.0000000437135,1,"Alambres de púas,de hierro o acero,alambres y flejes de hierro o acero,torcidos,incluidos de púas utilzados p/cercar",73130000
7103,1.2816566000337238e-07,3775.7300001294516,1258.5766667098171,1,"Piedras preciosas o semipreciosas naturales ncop.,trabajadas excluidas simplemente aserradas o desbastadas",71039900
4014,1.273462372606229e-07,3751.5900001286236,1250.5300000428745,1,Preservativos de caucho vulcanizado s/endurecer,40141000
3404,1.2551526531597064e-07,3697.650000126774,1232.550000042258,1,"Ceras artificiales,ncop.",34049019
8505,1.1646088162081777e-07,3430.910000117629,1143.6366667058762,4,"Imanes permanentes y artículos destinados a ser imantados permanentemente,de metal","85051100,85059090,85059010,85051990"
8533,1.1438890298712154e-07,3369.870000115536,1123.290000038512,5,Resistencias eléctricas fijas ncop.,"85332900,85332190,85334099,85334092,85334011"
9617,1.1122967868440026e-07,3276.8000001123455,1092.266666704115,1,Termos y otros recipientes isotérmicos,96170010
2528,1.1025207408658815e-07,3248.000000111358,1082.666666703786,1,"Boratos naturales y sus concentrados,excluido los boratos extraídos de las salmueras naturales-ácido bórico natural c/un contenido de H3BO3 <= al 85 % calculado sobre producto seco",25280000
6406,1.0464238881455933e-07,3082.7400001056917,1027.5800000352306,1,"Suelas y tacos de calzado,de caucho o plástico",64062000
8416,1.0446248241287863e-07,3077.44000010551,1025.8133333685034,1,Quemadores de combustibles líquidos,84161000
6209,1.0407822949457191e-07,3066.120000105122,1022.0400000350406,2,"Prendas y accesorios de vestir excluidos de punto,de algodón,para bebés","62092000,62093000"
8308,1.0347197886551206e-07,3048.26000010451,1016.0866667015033,2,"Remaches tubulares o c/espiga hendida,de metal común","83082000,83089010"
6301,1.031481473424868e-07,3038.720000104183,1012.9066667013942,4,"Mantas de lana o pelo fino, excluidas las eléctricas","63012000,63013000,63014000,63019000"
7311,1.0183313338001315e-07,2999.9800001028552,999.9933333676184,1,"Recipientes p/gases comprimidos o licuados,de fundición,hierro o acero",73110000
3908,9.779711995362911e-08,2881.0800000987783,960.3600000329261,1,"Poliamida-6 o -6,6,c/carga,en trozos,polvo,gránulos,copos y similares",39081023
9703,9.215960010624594e-08,2715.000000093084,905.000000031028,1,"Obras originales de estatuaria o escultura, de cualquier materia, de no más de 100 años",97039000
2521,9.151940487309537e-08,2696.1400000924377,898.7133333641459,1,Piedras p/la fabricación de cal o cemento,25210000
4414,9.019284974523088e-08,2657.060000091097,885.6866666970325,2,,"44140000,44149000"
7310,8.649085122309931e-08,2548.000000087359,849.3333333624529,2,"Barriles,tambores,latas y similares capacidad < a 50l.ncop.de fundición,hierro o acero,excluidos p/gases y alimentos","73102990,73102910"
3212,8.590802237086202e-08,2530.83000008677,843.6100000289233,1,"Pigmentos dispersos ncop.,utilizados p/fabricación de pinturas,tintes y similares,acondicionados p/la venta x menor",32129090
3811,8.564223612083185e-08,2523.000000086501,841.0000000288337,2,"Aditivos p/aceites lubricantes,c/aceites de petróleo o minerales bituminosos ncop.","38112190,38119090"
6212,7.999690901450782e-08,2356.6900000807996,785.5633333602665,1,Corpiños,62121000
7116,7.723721270193405e-08,2275.3900000780122,758.4633333593374,1,"Manufacturas de piedras preciosas o semipreciosas,ncop.",71162090
8503,7.196188178019862e-08,2119.9800000726837,706.6600000242279,2,"Partes de motores y generadores de las posiciones 8501.10,8501.20,8501.31,850132 u 8501.40.1","85030010,85030090"
8211,6.972221680229433e-08,2054.0000000704213,684.6666666901405,2,"Cuchillos de mesa de hoja fija,de metal común","82119100,82119210"
7225,6.929621202095609e-08,2041.4500000699916,680.4833333566638,1,"Productos planos de otros aceros aleados ncop.,laminados en caliente,ancho >= a 600mm.,s/enrollar",72254090
7415,6.818045288449482e-08,2008.5800000688644,669.5266666896215,5,Artículos roscados de cobre ncop.,"74153900,74153300,74152900,74152100,74151000"
6101,6.788920818139664e-08,2000.0000000685702,666.6666666895234,1,"Abrigos,chaquetones y similares de punto,de fibras sintéticas o artificiales, p/hombres o niños",61013000
3306,6.757691782376221e-08,1990.8000000682548,663.6000000227516,1,"Preparaciones p/higiene bucal,dental,acondicionadas p/la venta por menor,excluidos dentífricos e hilo dental",33069000
6206,6.310845014126269e-08,1859.1600000637416,619.7200000212472,2,"Camisas y blusas excluidas de punto,de fibras sintéticas o artificiales,p/mujeres o niñas","62064000,62063000"
7208,6.27975175677919e-08,1850.0000000634277,616.6666666878092,1,"Productos planos de hierro,acero s/alear,laminados en caliente,ancho >= a 600mm.s/enrollar s/chapar,espesor >= a 4,75mm.y <= a 10mm.",72085200
5402,6.240002625388982e-08,1838.2900000630261,612.7633333543421,2,"Hilados alta tenacidad de otras poliamidas ncop.,s/acondicionar p/la venta por menor","54021990,54022000"
2104,6.191495786143374e-08,1824.0000000625362,608.0000000208454,1,"Preparaciones p/sopas,potajes o caldo,en envases <= a 1kg.",21041011
7228,5.879205428508949e-08,1732.0000000593818,577.3333333531273,1,"Barras de otros aceros aleados ncop.,laminadas en caliente",72283000
9107,5.689658759266489e-08,1676.1600000574672,558.7200000191557,1,Interruptores horarios c/mecanismo de relojería o motor sincrónico,91070010
6105,5.6706837255797886e-08,1670.5700000572756,556.8566666857586,1,"Camisas de punto,de algodón, p/hombres o niños",61051000
6202,5.3931526425342396e-08,1588.8100000544725,529.6033333514908,2,"Abrigos, chaquetones, capas, anoraks, cazadoras y artículos similares, para mujeres o niñas, excepto los de la partida 62.04, de fibras sintéticas o artificiales","62024000,62021900"
7010,5.355032852140385e-08,1577.5800000540873,525.8600000180292,4,"Bombonas y botellas de vidrio,c/capacidad > a 1l.","70109011,70109022,70109090,70109021"
8548,5.346275144284985e-08,1575.000000053999,525.0000000179997,1,,85489010
0712,5.2787253821444955e-08,1555.1000000533168,518.3666666844389,1,Hortalizas ncop.secas,07129090
7215,5.206321541619036e-08,1533.7700000525854,511.2566666841951,1,"Barras de hierro,acero s/alear,ncop.",72159090
3215,4.820133780879161e-08,1420.0000000486848,473.3333333495616,1,Tintas de imprenta negra,32151100
7013,4.755231697857746e-08,1400.8800000480294,466.96000001600976,3,Recipientes p/beber de vidrio excluidos c/pie y de vitrocerámica y/o cristal al plomo,"70133700,70132800,70139110"
8203,4.207467621646148e-08,1239.5100000424968,413.17000001416557,3,"Cortatubos,cortapernos,sacabocados y herramientas similares de metal común","82034000,82032090,82032010"
5909,4.0890688425777924e-08,1204.6300000413012,401.5433333471004,1,Mangueras p/bombas y tubos similares de materia textil,59090000
6302,4.052985728429379e-08,1194.0000000409364,398.0000000136455,7,Ropa de mesa de algodón,"63025100,63026000,63021000,63022100,63029990"
8541,4.0393739421890095e-08,1189.990000040799,396.663333346933,5,"Diodos s/montar ncop.,excluidos los fotodiodos y los diodos emisores de luz","85411019,85416010,85412920,85411029,85411099"
5609,3.806276345898184e-08,1121.3200000384445,373.77333334614815,2,"Otros artículos de hilados de algodón, no expresados ni comprendidos en otra parte","56090010,56090090"
2844,3.436755385766842e-08,1012.4600000347123,337.48666667823744,1,Residuos radiactivos,28444400
4113,3.401724554345241e-08,1002.1400000343584,334.0466666781195,1,"Cueros y pieles depilados de caprino excluido curtidos al cromo,acabados",41131090
6304,3.299245794595423e-08,971.9500000333235,323.9833333444411,2,Artículos de tapicería de fibras sintéticas excluidos de punto y colchas,"63049300,63049900"
7605,3.139366709328234e-08,924.8500000317086,308.2833333439029,1,Alambre de aluminio s/alear ncop.,76051990
5208,3.127655820916943e-08,921.4000000315901,307.1333333438634,1,"Tejidos de algodón,blanqueados,peso >=85%,de ligamento  tafetán,gramaje > a 100g/m2.",52082200
4303,3.111022964912501e-08,916.5000000314224,305.50000001047414,1,Artículos de peletería excluidas prendas y accesorios de vestir,43039000
8310,2.9370568689476723e-08,865.2500000296652,288.41666667655505,1,"Placas indicadoras,rótulo,de dirección y similares,letras,números y otros signos,de metal común",83100000
7325,2.9346128574531415e-08,864.5300000296404,288.1766666765468,2,"Otras manufacturas moldeadas,de acero,ncop.","73259910,73259990"
8532,2.8252772876770026e-08,832.3200000285362,277.4400000095121,2,Condensadores fijos c/dieléctrico de papel o plástico excluidos los aptos p/montaje en superficie(SMD),"85322590,85322200"
3802,2.8004298374826114e-08,825.0000000282853,275.00000000942845,1,Carbones activados,38021000
8519,2.7834575354372623e-08,820.0000000281138,273.33333334270463,1,Aparatos de grabación y/o reproducción de sonido ncop.,85198900
6214,2.6374957378472594e-08,777.0000000266396,259.00000000887985,1,"Chales,pañuelos de cuello,bufandas,velos y artículos similares excluidos de punto,de fibras sintéticas",62143000
0710,2.6188262055973754e-08,771.500000026451,257.16666667548367,1,"Porotos (frijoles,alubias,judías)excluidas frescas o refrigeradas",07102200
4017,2.497474245973129e-08,735.7500000252253,245.25000000840842,1,"Caucho endurecido en cualquier forma,desechos,desperdicios y manufacturas",40170000
8546,2.4897348762404495e-08,733.4700000251471,244.49000000838237,2,Aisladores eléctricos excluidos de vidrio o cerámica,"85469000,85462000"
2512,2.4594902339956374e-08,724.5600000248417,241.52000000828056,1,Harinas y tierras silíceas,25120000
6402,2.3701140914248287e-08,698.2300000239388,232.74333334131296,3,"Calzado c/suela y parte superior de caucho o plástico, ncop.","64029990,64022000,64029190"
8539,2.3635288382312333e-08,696.2900000238724,232.09666667462415,5,Lámparas y tubos de incandescencia halógenas de volframio p/tensión <= a 15 voltios,"85392110,85395000,85392990,85392190,85392910"
5602,2.298321253773002e-08,677.0800000232138,225.69333334107125,1,"Fieltros de materia textil no expresado ni comprendido en otra parte, s/impregnar o recubrir",56022900
9608,2.257316172031438e-08,665.0000000227996,221.6666666742665,1,Bolígrafos,96081000
5903,2.1987956745790743e-08,647.7600000222085,215.92000000740282,1,"Telas impregnadas,recubiertas o estratificadas c/plástico, ncop.",59039000
8518,2.027035977880141e-08,597.1600000204737,199.0533333401579,1,"Altavoces(altoparlantes),ncop.",85182990
3816,1.9850804472240374e-08,584.8000000200499,194.93333334001662,1,Cementos y morteros refractarios ncop.,38160019
8204,1.935317657627074e-08,570.1400000195474,190.04666667318247,2,"Llaves de ajuste de mano,de boca fija,de metal común","82041100,82041200"
7212,1.9242517166935064e-08,566.8800000194356,188.9600000064785,2,"Productos laminados planos de hierro,acero s/alear,ancho < a 600mm.revestidos ncop.","72125090,72122090"
7615,1.893565794595515e-08,557.8400000191256,185.94666667304185,1,"Artículos de uso doméstico y sus partes-esponjas,estropajos,guantes y artículos similares p/fregar,lustrar o usos análogos,de aluminio",76151000
0906,1.8289352684068254e-08,538.8000000184728,179.60000000615761,1,"Canela,trituradas o pulverizadas",09062000
6913,1.8136601965660114e-08,534.3000000183187,178.10000000610623,1,Estatuillas y otros adornos de cerámica excluida porcelana,69139000
7117,1.7455673207600704e-08,514.2400000176308,171.41333333921025,1,Artículos de bisutería de metales comunes excluido gemelos,71171900
5607,1.697230204534916e-08,500.00000001714255,166.66666667238084,1,Cordeles y cuerdas de polietileno o polipropileno p/atar o engavillar,56074100
2508,1.6945146362076602e-08,499.20000001711514,166.40000000570504,1,Bentonita,25081000
4403,1.4256733718093295e-08,420.0000000143998,140.00000000479994,1,"Madera en bruto tratada con pintura, creosota u otros agentes de conservación, excepto la de coníferas",44031200
8513,1.2678309627875823e-08,373.5000000128055,124.5000000042685,1,Lámparas de mano incluidas las linternas,85131010
8542,1.2527595585713122e-08,369.06000001265323,123.02000000421775,3,Circuitos electrónicos integrados ncop.,"85423999,85423190,85423120"
5702,1.2476678679577074e-08,367.5600000126018,122.5200000042006,2,"Alfombras y revestimientos p/suelos s/aterciopelar confeccionados,de materia textil ncop.","57029900,57029100"
8531,1.2423725097195586e-08,366.0000000125484,122.00000000418281,1,"Aparatos eléctricos de señalización acústica o visual ncop.,excluidos los de las partidas 8512 u 8530",85318000
8524,1.2263846011928396e-08,361.2900000123869,120.43000000412896,1,"Módulos de visualización («display») de pantalla plana, con controladores («drivers») o circuitos de control, de cristal líquido",85249100
6905,1.1880611431744412e-08,350.0000000119998,116.6666666706666,1,"Elementos de chimenea,ornamentos arquitectónicos y otros productos cerámicos p/la construcción",69059000
9002,1.1559156031005497e-08,340.53000001167504,113.51000000389168,1,Filtros ópticos excluidos polarizantes,90022090
0708,1.1547954311655568e-08,340.2000000116638,113.40000000388794,1,"Porotos(alubias,frijoles,judías)frescos o refrigerados",07082000
8462,1.1180673695394212e-08,329.3800000112928,109.7933333370976,1,"Máquinas de enrollar,curvar,plegar,enderezar o aplanar metales,excluidas de control numérico",84622900
6912,1.1116857839703699e-08,327.50000001122834,109.16666667040944,1,"Vajillas,otros artículos de uso doméstico,higiene o tocador,de cerámica excluida porcelana",69120000
4415,1.0938309222186626e-08,322.24000001104804,107.41333333701601,1,"Cajones,cajas,jaulas,tambores y envases similares,carretes p/cables,de madera",44151000
7508,1.0865667769432533e-08,320.10000001097467,106.70000000365822,1,"Otras manufacturas de níquel,ncop.",75089090
6111,8.287575088743994e-09,244.15000000837068,81.38333333612356,1,"Prendas y accesorios de vestir de punto,de algodón,para bebés",61112000
2710,7.82015789041508e-09,230.38000000789862,76.79333333596621,2,Aceites lubricantes c/aditivos,"27101932,27101993"
5908,7.467812899953631e-09,220.00000000754275,73.33333333584758,1,"Mechas de materia textil tejidas,trenzadas o de punto,p/lámparas,mecheros y similares",59080000
8210,7.315062181545487e-09,215.50000000738842,71.83333333579614,1,"Aparatos mecánicos manuales,peso<= a 10kg.,ncop.,de metal común p/preparar,acondicionar,servir alimentos o bebidas",82100090
4814,6.4664470792780305e-09,190.50000000653134,63.50000000217711,1,"Papel p/decorar o revestir paredes ncop.,papel p/vidrieras",48149000
5806,6.415190727101075e-09,188.99000000647953,62.996666668826514,1,Cintas de fibras sintéticas o artificiales,58063200
3213,6.2797517567791886e-09,185.00000000634273,61.66666666878091,1,"Colores en surtidos p/pintura artística,enseñanza,letreros,matizar o entretenimientos",32131000
6506,6.2379998937476306e-09,183.7700000063006,61.25666666876686,1,Sombreros y tocados de otras materias ncop.,65069900
9013,6.183009635120699e-09,182.15000000624502,60.71666666874834,1,,90138010
4013,5.675537803964759e-09,167.20000000573248,55.73333333524416,1,"Cámaras de caucho p/neumáticos,ncop.",40139000
3601,5.449466740720708e-09,160.54000000550414,53.51333333516805,1,Pólvoras,36010000
3814,5.091690613604747e-09,150.00000000514274,50.00000000171425,1,"Disolventes y diluyentes orgánicos compuestos,preparaciones p/quitar pinturas o barnices ncop.",38140090
8214,5.037379247059631e-09,148.40000000508792,49.466666668362635,2,"Otros artículos de cuchillería,de metal común,ncop.","82149090,82141000"
6911,4.7386667310614856e-09,139.6000000047862,46.533333334928734,1,"Artículos p/servicio de mesa o cocina de porcelana,ncop.",69111090
5705,4.641585163362089e-09,136.74000000468817,45.58000000156272,1,Otras alfombras y revestimientos p/suelos de materia textil ncop.,57050000
6806,4.629365105889437e-09,136.38000000467582,45.460000001558605,2,Aislante térmico o acústico silicoaluminoso o aluminoso,"68069010,68069090"
6108,4.552989746685365e-09,134.13000000459866,44.71000000153289,3,"Camisones y pijamas de punto,de algodón,p/mujeres o niñas","61083100,61082100,61082200"
4817,4.24307551133729e-09,125.00000000428564,41.66666666809521,1,"Cajas,bolsas y presentaciones similares de papel o cartón,c/un surtido de artículos de correspondencia",48173000
7418,4.1704340585831955e-09,122.86000000421227,40.95333333473742,1,"Artículos de higiene o tocador y sus partes,de cobre",74182000
0908,3.913812851657516e-09,115.30000000395307,38.433333334651024,1,Nuez moscada triturada o pulverizada,09081200
4205,3.903629470430307e-09,115.0000000039428,38.3333333346476,1,"Otras manufacturas de cuero,ncop.",42050000
8525,3.319442834029389e-09,97.79000000335274,32.59666666778425,1,Cámaras de televisión n.c.o.p.,85258919
6207,3.2043706261619215e-09,94.40000000323653,31.46666666774551,1,"Camisetas,batas y similares excluidas de punto,de algodón,p/hombres o niños",62079100
9004,3.071307778126384e-09,90.48000000310212,30.16000000103404,2,Gafas(anteojos)de seguridad,"90049020,90049090"
2523,2.9158414913909856e-09,85.90000000294509,28.63333333431503,1,"Cemento blanco,incluso coloreado artificialmente",25232100
8540,2.376122286348882e-09,70.00000000239996,23.333333334133318,1,"Válvulas electrónicas,de potencia p/transmisores",85408910
